period,OECD_long_term_interest_rates
1969-02,6.93
1969-03,7.09
1969-04,7.27
1969-05,7.28
1969-06,7.53
1969-07,7.64
1969-08,7.7
1969-09,7.92
1969-10,7.94
1969-11,7.76
1969-12,7.9
1970-01,7.93
1970-02,8.01
1970-03,8.03
1970-04,8.06
1970-05,8.15
1970-06,8.17
1970-07,8.02
1970-08,8.01
1970-09,8.02
1970-10,8.01
1970-11,7.95
1970-12,7.77
1971-01,7.55
1971-02,7.57
1971-03,7.56
1971-04,7.38
1971-05,7.55
1971-06,7.56
1971-07,7.61
1971-08,7.59
1971-09,7.85
1971-10,7.74
1971-11,7.76
1971-12,7.79
1972-01,7.52
1972-02,7.32
1972-03,7.26
1972-04,7.36
1972-05,7.51
1972-06,7.56
1972-07,7.47
1972-08,7.23
1972-09,7.05
1972-10,7.15
1972-11,7.32
1972-12,7.5
1973-01,7.46
1973-02,7.4
1973-03,7.28
1973-04,7.41
1973-05,7.45
1973-06,7.8
1973-07,8
1973-08,8.44
1973-09,8.42
1973-10,8.24
1973-11,8.09
1973-12,9.01
1974-01,9.26
1974-02,9.35
1974-03,9.34
1974-04,9.77
1974-05,10.22
1974-06,10.15
1974-07,10.44
1974-08,10.45
1974-09,10.43
1974-10,10.25
1974-11,9.14
1974-12,9.09
1975-01,8.95
1975-02,8.8
1975-03,8.82
1975-04,8.89
1975-05,8.54
1975-06,8.33
1975-07,8.75
1975-08,8.94
1975-09,8.97
1975-10,8.97
1975-11,8.87
1975-12,8.61
1976-01,8.47
1976-02,8.25
1976-03,8.32
1976-04,8.4
1976-05,8.69
1976-06,9.34
1976-07,9.63
1976-08,10.03
1976-09,9.8
1976-10,9.32
1976-11,8.78
1976-12,8.4
1977-01,8.4
1977-02,8.38
1977-03,8.29
1977-04,8.11
1977-05,8.12
1977-06,8.17
1977-07,7.93
1977-08,7.7
1977-09,7.83
1977-10,8.03
1977-11,8.14
1977-12,8.11
1978-01,7.73
1978-02,7.54
1978-03,7.46
1978-04,7.27
1978-05,7.4
1978-06,7.35
1978-07,7.7
1978-08,7.78
1978-09,7.78
1978-10,8.28
1978-11,8.06
1978-12,8.48
1979-01,8.27
1979-02,8.37
1979-03,8.52
1979-04,8.58
1979-05,8.77
1979-06,9.01
1979-07,8.98
1979-08,8.73
1979-09,8.77
1979-10,8.83
1979-11,9.18
1979-12,9.29
1980-01,9.41
1980-02,10.37
1980-03,11.45
1980-04,10.59
1980-05,9.97
1980-06,9.99
1980-07,9.66
1980-08,9.67
1980-09,10.25
1980-10,10.2
1980-11,10.46
1980-12,10.48
1981-01,10.43
1981-02,10.96
1981-03,11.38
1981-04,11.29
1981-05,11.9
1981-06,11.43
1981-07,11.57
1981-08,12.12
1981-09,12.3
1981-10,12.1
1981-11,11.87
1981-12,11.28
1982-01,11.23
1982-02,10.98
1982-03,10.37
1982-04,10.17
1982-05,10.15
1982-06,10.53
1982-07,10.5
1982-08,10.24
1982-09,9.98
1982-10,9.73
1982-11,8.89
1982-12,8.4
1983-01,7.98
1983-02,8.2
1983-03,8.03
1983-04,8.46
1983-05,8.85
1983-06,9.22
1983-07,9.08
1983-08,9.03
1983-09,8.8
1983-10,8.53
1983-11,8.57
1983-12,8.58
1984-01,8.57
1984-02,8.56
1984-03,8.4
1984-04,8.45
1984-05,8.52
1984-06,8.68
1984-07,8.69
1984-08,8.5
1984-09,8.26
1984-10,7.94
1984-11,7.65
1984-12,7.72
1985-01,7.38
1985-02,7.89
1985-03,8.02
1985-04,7.7
1985-05,7.54
1985-06,7.35
1985-07,7.24
1985-08,6.92
1985-09,6.89
1985-10,7.03
1985-11,7.01
1985-12,6.96
1986-01,6.81
1986-02,6.84
1986-03,6.44
1986-04,6.15
1986-05,6.33
1986-06,6.29
1986-07,6.24
1986-08,6.01
1986-09,6.03
1986-10,6.18
1986-11,6.22
1986-12,6.27
1987-01,6.16
1987-02,6.18
1987-03,6.2
1987-04,6.12
1987-05,6.06
1987-06,6.28
1987-07,6.45
1987-08,6.6
1987-09,6.87
1987-10,7.08
1987-11,6.41
1987-12,6.42
1988-01,6.37
1988-02,6.2
1988-03,6.13
1988-04,6.19
1988-05,6.47
1988-06,6.52
1988-07,6.68
1988-08,6.72
1988-09,6.58
1988-10,6.28
1988-11,6.35
1988-12,6.5
1989-01,6.67
1989-02,6.97
1989-03,7.09
1989-04,7.08
1989-05,7.38
1989-06,7.2
1989-07,7.05
1989-08,7.05
1989-09,7.23
1989-10,7.43
1989-11,7.72
1989-12,7.75
1990-01,8.22
1990-02,8.78
1990-03,8.98
1990-04,8.89
1990-05,8.95
1990-06,8.96
1990-07,8.74
1990-08,8.99
1990-09,9.16
1990-10,9.19
1990-11,9.13
1990-12,9.06
1991-01,9.15
1991-02,8.64
1991-03,8.66
1991-04,8.57
1991-05,8.59
1991-06,8.64
1991-07,8.82
1991-08,8.84
1991-09,8.77
1991-10,8.72
1991-11,8.75
1991-12,8.72
1992-01,8.39
1992-02,8.3
1992-03,8.31
1992-04,8.31
1992-05,8.32
1992-06,8.3
1992-07,8.34
1992-08,8.36
1992-09,8.04
1992-10,7.65
1992-11,7.51
1992-12,7.4
1993-01,7.13
1993-02,6.87
1993-03,6.56
1993-04,6.6
1993-05,6.67
1993-06,6.59
1993-07,6.43
1993-08,6.18
1993-09,5.98
1993-10,5.83
1993-11,5.81
1993-12,5.68
1994-01,5.61
1994-02,5.87
1994-03,6.29
1994-04,6.54
1994-05,6.75
1994-06,7.11
1994-07,6.91
1994-08,7.12
1994-09,7.49
1994-10,7.55
1994-11,7.54
1994-12,7.6
1995-01,7.71
1995-02,7.54
1995-03,7.42
1995-04,7.17
1995-05,6.92
1995-06,6.83
1995-07,6.85
1995-08,6.74
1995-09,6.58
1995-10,6.59
1995-11,6.35
1995-12,6.09
1996-01,5.87
1996-02,6.21
1996-03,6.45
1996-04,6.35
1996-05,6.35
1996-06,6.47
1996-07,6.41
1996-08,6.24
1996-09,6.1
1996-10,5.88
1996-11,5.76
1996-12,5.72
1997-01,5.66
1997-02,5.47
1997-03,5.65
1997-04,5.79
1997-05,5.69
1997-06,5.62
1997-07,5.49
1997-08,5.6
1997-09,5.55
1997-10,5.57
1997-11,5.54
1997-12,5.29
1998-01,5.07
1998-02,5.01
1998-03,4.94
1998-04,4.95
1998-05,5
1998-06,4.85
1998-07,4.76
1998-08,4.53
1998-09,4.19
1998-10,4.14
1998-11,4.19
1998-12,3.95
1999-01,3.801
1999-02,3.932
1999-03,4.139
1999-04,3.995
1999-05,4.193
1999-06,4.513
1999-07,4.821
1999-08,5.03
1999-09,5.215
1999-10,5.45
1999-11,5.178
1999-12,5.284
2000-01,5.666
2000-02,5.655
2000-03,5.479
2000-04,5.387
2000-05,5.501
2000-06,5.31
2000-07,5.401
